model,iou,dice,precision,recall,f1,params_m
Mask R-CNN,91.58,92.44,92.24,94.13,93.17,44.5
MPFormer,93.26,94.39,90.99,93.63,92.29,43.9
Mask2Former,94.16,95.43,93.70,96.45,95.06,44.0
MaskDINO,93.75,94.64,93.74,95.81,94.76,52.0
GEM,93.92,94.75,93.96,96.04,94.99,21.6
SemiTNet,94.41,95.45,94.74,97.10,95.90,21.6
