phase,epoch,loss,iou,dice,precision,recall,f1
teacher,1,3.865176709493001,0.0,0.0,0.0,0.0,0.0
teacher,2,3.8181339104970298,0.0,0.0,0.0,0.0,0.0
teacher,3,3.7779351552327474,0.0,0.0,0.0,0.0,0.0
teacher,4,3.6952247619628906,29.210026360939185,45.21325037012687,1.6629128157332382,2.3886850456165227,1.960793805625046
teacher,5,3.5299840132395426,32.290621809947865,48.817703580435825,3.190462258630312,2.7035402618005375,2.9268876884999226
teacher,6,3.3966124057769775,38.1935944512416,55.27549175185153,3.7988386066946345,5.133131693771677,4.366323669340414
teacher,7,3.2475387414296466,37.897621757620115,54.96486636184633,5.449256875591364,6.990033716778189,6.1242216261148315
teacher,8,3.146367835998535,31.895080194017822,48.364321318278314,10.319586261767629,9.646469654897654,9.97168105257175
student,1,3.036881955464681,34.11292169758564,50.87193875994688,11.790136058504944,12.170269734230938,11.977186971532504
student,2,3.0238581975301106,33.05651614205745,49.68793276800474,12.52662423999735,12.02895676318772,12.272746893320026
